Date,HRT,Q_in,CO2,H2S,temp,pH,VFA,TS,VS,FW_VS,MY
2020-01-01,74.09733124018838,63.7,,195.0,39.0,7.744259259259259,1654.9568161177676,31.485007018680484,23.966503314976784,177,502.4399329484075
2020-01-02,56.77853963671358,83.13,,204.0,37.5,7.800740740740741,1651.32802989022,29.313740956700137,22.50722402548321,177,159.69333988491243
2020-01-03,54.29031515988038,86.94,,178.0,36.5,7.835,1650.0,27.049999999999997,20.8916,177,221.26249156831327
2020-01-04,95.41136042045684,49.47,,70.0,39.0,7.852592592592593,1651.5056816117767,24.78514793218875,19.210848990389806,177,14.56158443341225
2020-01-05,84.71086720850093,16.0,,66.0,40.0,7.8590740740740745,1656.3780298902202,22.61054853687507,17.55618874851528,177,19.46440677966102
2020-01-06,70.34277198211625,67.1,,146.0,39.5,7.859999999999999,1665.15,20.61756559766764,16.01883702623907,177,183.85121708892203
2020-01-07,64.83516483516483,72.8,,78.0,36.5,7.84,1730.0,18.901822157434403,14.616307871720116,177,283.82109486558636
2020-01-08,68.41571242209017,68.99,,136.5,39.0,7.785,1697.55,17.56042274052478,13.503522740524783,177,275.64795274513705
2020-01-09,59.595959595959606,79.19999999999999,,98.0,39.0,7.804225206611569,1736.475,16.64945335276968,12.86194511101144,177,297.56123380699654
2020-01-10,71.43938247313454,66.07000000000001,,98.0,38.5,7.824999999999999,1775.4,16.3,12.6865,177,242.67419249742818
2020-01-11,93.2437771631766,50.620000000000005,,144.5,37.0,7.8108218549127635,1711.7539514990617,16.51924882629108,12.765265227697121,177,251.87980901231506
2020-01-12,85.81818181818181,55.0,,128.5,39.0,7.781244260789715,1575.5523474425677,16.93849765258216,12.863752241544601,177,54.014514637904476
2020-01-13,49.96824052508998,94.46,,95.0,40.5,7.765,1448.9,17.2,12.965632653061224,177,85.37775831936753
2020-01-14,90.83910700538875,51.96,,131.0,38.0,7.795,1362.4,17.24263078470825,13.086294349522756,177,299.0806650487337
2020-01-15,75.42345797379353,62.580000000000005,,74.5,36.0,7.845000000000001,1340.75,17.275,13.169918367346938,177,371.25393394759783
2020-01-16,103.35012042916576,45.67,,91.0,38.0,7.865,1427.25,17.335714285714285,13.189473922902494,177,290.1477870599573
2020-01-17,62.68260292164675,75.3,,88.5,40.0,7.8618749999999995,1410.359375,17.375,13.197,177,150.74151604504766
2020-01-18,161.53319644079397,29.22,,44.5,40.0,7.855,1373.1999999999998,17.32962962962963,13.112725752197331,177,366.9769950927506
2020-01-19,69.41176470588235,68.0,,30.5,39.0,7.848125,1336.040625,17.24537037037037,12.956197540889537,177,61.41432369557993
2020-01-20,41.97047839231727,112.46,,142.5,38.5,7.845,1319.15,17.2,12.871857164226945,177,166.50629828458784
2020-01-21,101.0057778728868,46.73,,81.0,36.5,7.856931818181819,1363.784534688549,17.2375,13.084239012952475,177,287.86965873191474
2020-01-22,58.64811133200795,80.48,,177.5,38.5,7.875,1427.25,17.275,13.296581181512744,177,112.15047286900068
2020-01-23,64.79066575154427,72.85,,100.5,37.5,7.885,1448.9,17.075,13.121381023613633,177,129.33192187336417
2020-01-24,74.13224438511072,63.67,,140.5,37.0,7.885299028536734,1456.8628053130763,17.212037037037035,13.189654411479541,177,124.22645366867827
2020-01-25,70.44776119402985,67.0,,79.5,41.0,7.884560534304796,1464.2206857502324,17.55462962962963,13.360657958075608,177,78.25094864659752
2020-01-26,72.61538461538461,65.0,,84.5,40.0,7.883222950819672,1471.2009933744857,18.0,13.583000128218826,177,29.89761842677097
2020-01-27,56.04369508430302,84.22,,79.0,39.5,7.881724711596842,1478.0310802488536,18.44537037037037,13.805289386726184,177,193.71299542360805
2020-01-28,138.53830349280892,34.07,,88.5,39.0,7.880504250151791,1484.9382984363529,18.787962962962965,13.976134198414677,177,382.2946774586718
2020-01-29,49.75753742357158,94.86,,85.5,36.0,7.88,1492.15,18.925,14.044143028101292,177,207.4049267966709
2020-01-30,65.57377049180329,71.97999999999999,,109.5,38.0,7.885,1513.8,18.875,13.993572488751173,177,277.17649127268567
2020-01-31,72.61538461538461,65.0,,72.0,36.5,7.859999999999999,1621.9,17.95,13.692938452588715,177,181.5644415471534
2020-02-01,72.47044372792877,65.13,,96.0,37.0,7.860711111111111,1634.9829043478262,17.740274300585554,13.60890763748165,177,7.241666167881534
2020-02-02,72.61538461538461,65.0,,111.5,38.0,7.8621333333333325,1641.7060173913044,17.58480858815875,13.544847339332389,177,7.361799217731422
2020-02-03,91.68609168609169,51.48,,89.75,37.0,7.8632,1644.0526782608695,17.479205725439165,13.499880923407506,177,1.7955631938682788
2020-02-04,74.19050613014775,63.62,,68.0,39.0,7.862844444444445,1644.0062260869563,17.41906857514639,13.473131754973576,177,157.19490903794957
2020-02-05,60.8404227893787,77.58000000000001,,146.0,38.0,7.859999999999999,1643.55,17.4,13.46372319929717,177,105.8495185578437
2020-02-06,55.66694185635099,84.78999999999999,,125.5,35.0,7.824999999999999,1643.5,17.425,13.512652610084174,177,166.28053489411866
2020-02-07,67.15037700953195,70.28999999999999,,117.5,36.5,7.826793981481481,1643.1495949074074,17.39765625,13.441187500000002,177,220.55307591712466
2020-02-08,76.69808254793631,61.54,,88.5,40.0,7.831435185185185,1644.300925925926,17.287645772594754,13.226644855219574,177,172.20482199809408
2020-02-09,76.12903225806451,62.0,,57.0,39.0,7.8378125,1650.2578125,17.098918094023325,12.919516068757348,177,201.36958264989974
2020-02-10,76.26433995798998,61.89,,86.0,38.0,7.844814814814815,1664.3240740740741,16.895772594752188,12.64127885457848,177,115.6501054814766
2020-02-11,62.7159181504119,75.26,,100.5,38.0,7.861643518518518,1706.4500629324275,16.885349854227407,12.672785926648146,177,82.60028135983579
2020-02-12,64.94221243808475,72.68,,96.0,39.0,7.875,1751.65,17.028425655976676,12.80738999893151,177,132.51050188272094
2020-02-13,71.22378149992456,66.27,,164.0,38.0,7.845,1730.0,17.199854227405247,12.780631285393738,177,300.61211667046047
2020-02-14,61.64294109964739,76.57,,84.0,38.0,7.850260690172544,1713.4712831669913,17.1109375,12.66320625,177,350.5254672619641
2020-02-15,73.17829457364341,64.5,,104.0,37.5,7.864028507126781,1691.8897517039923,17.105320699708454,12.634872594752187,177,399.7136819515614
2020-02-16,76.12903225806451,62.0,,55.0,39.5,7.883282070517629,1673.150844388997,17.226526056851313,12.765337773323616,177,422.49462365591404
2020-02-17,53.59981830570066,88.06,,121.0,37.5,7.905,1665.15,17.47069970845481,13.061394752186589,177,270.635044672931
2020-02-18,78.9825970548862,59.760000000000005,,95.5,38.5,7.975,2205.75,18.67930029154519,14.82280524781341,177,344.66896777316424
2020-02-19,51.5058926233086,91.64,,121.0,38.0,7.98,2292.25,21.32523859948292,17.442424464071344,177,199.79129521808503
2020-02-20,70.78584283143371,66.68,,72.5,37.0,7.974895652173913,2249.5216,23.294679300291545,19.186827405247815,177,311.6338257772174
2020-02-21,79.46127946127946,59.4,,95.0,37.5,7.968382608695652,2147.6308,22.554968250235184,18.428024999999998,177,379.83060358766585
2020-02-22,92.87682014954744,50.82,,88.5,36.0,7.961921739130435,2026.0192000000002,20.73827808712234,16.522585356917592,177,441.64168651071583
2020-02-23,107.27272727272728,44.0,,134.0,31.0,7.956973913043479,1924.1284,18.895809190117618,14.588798902288888,177,368.2911658962506
2020-02-24,52.097130242825614,90.6,,125.0,40.0,7.955,1881.4,18.009117698897626,13.659839348041661,177,191.68670882129183
2020-02-25,54.13464846886111,87.19,,114.0,39.0,7.959903846153846,1905.264576389361,17.922662504785265,13.665755406103695,177,183.80875456743277
2020-02-26,57.94254849005647,81.46000000000001,,89.0,40.0,7.97,1946.3,17.829779498162708,13.649095788402771,177,255.8741422430474
